"id","dispatching_base_number","date","active_vehicles","trips"
"136","B02764","2015-01-23","4040","33756"
"137","B02617","2015-01-23","1482","13121"
"138","B02682","2015-01-23","1330","11767"
"139","B02598","2015-01-24","945","10040"
"140","B02764","2015-01-24","3652","39187"
"141","B02512","2015-01-24","211","1608"
"142","B02617","2015-01-24","1367","14143"
"143","B02682","2015-01-24","1223","13355"
"144","B02765","2015-01-24","245","2376"
"145","B02512","2015-01-25","183","1190"
"146","B02764","2015-01-25","3300","28066"
"147","B02765","2015-01-25","226","1755"
"148","B02598","2015-01-25","829","7219"
"149","B02682","2015-01-25","1046","9303"
"150","B02617","2015-01-25","1203","10362"
"151","B02617","2015-01-26","1150","7608"
"152","B02598","2015-01-26","860","5919"
"153","B02765","2015-01-26","230","1363"
"154","B02764","2015-01-26","3012","19940"
"155","B02682","2015-01-26","1084","7565"
"156","B02512","2015-01-26","197","1000"
"157","B02682","2015-01-27","600","4414"
"158","B02765","2015-01-27","135","921"
"159","B02617","2015-01-27","596","4325"
"160","B02598","2015-01-27","434","2957"
"161","B02512","2015-01-27","112","629"
"162","B02764","2015-01-27","1619","11998"
"163","B02764","2015-01-28","3692","28137"
"164","B02682","2015-01-28","1235","10025"
"165","B02765","2015-01-28","286","1913"
"166","B02617","2015-01-28","1356","10862"
"167","B02598","2015-01-28","1011","8071"
"168","B02512","2015-01-28","235","1438"
"169","B02617","2015-01-29","1474","12600"
"170","B02764","2015-01-29","3959","31637"
"171","B02682","2015-01-29","1316","11485"
"172","B02765","2015-01-29","295","2086"
"173","B02512","2015-01-29","250","1687"
"174","B02598","2015-01-29","1082","9499"
"175","B02512","2015-01-30","256","2016"
"176","B02617","2015-01-30","1501","14793"
"177","B02682","2015-01-30","1384","13852"
"178","B02764","2015-01-30","4124","39110"
"179","B02765","2015-01-30","322","2785"
"180","B02598","2015-01-30","1106","11167"
"181","B02765","2015-01-31","309","3282"
"182","B02512","2015-01-31","225","1892"
"183","B02617","2015-01-31","1394","15756"
"184","B02682","2015-01-31","1321","15388"
"185","B02764","2015-01-31","3947","44297"
"186","B02598","2015-01-31","1027","11642"
"187","B02598","2015-02-01","961","9499"
"188","B02682","2015-02-01","1214","12436"
"189","B02512","2015-02-01","193","1377"
"190","B02765","2015-02-01","289","2672"
"191","B02617","2015-02-01","1355","13458"
"192","B02764","2015-02-01","3740","37468"
"193","B02617","2015-02-02","1217","12216"
"194","B02682","2015-02-02","1152","11981"
"195","B02765","2015-02-02","275","2607"
"196","B02598","2015-02-02","939","9511"
"197","B02764","2015-02-02","3270","30761"
"198","B02512","2015-02-02","227","1904"
"199","B02765","2015-02-03","299","2410"
"200","B02598","2015-02-03","991","9602"
"201","B02512","2015-02-03","257","1915"
"202","B02764","2015-02-03","3674","31641"
"203","B02617","2015-02-03","1350","12665"
"204","B02682","2015-02-03","1269","11955"
"205","B02764","2015-02-04","3856","29994"
"206","B02765","2015-02-04","309","2334"
"207","B02512","2015-02-04","244","1639"
"208","B02682","2015-02-04","1311","11309"
"209","B02617","2015-02-04","1393","11959"
"210","B02598","2015-02-04","1072","9600"
"211","B02617","2015-02-05","1524","14499"
"212","B02682","2015-02-05","1418","13782"
"213","B02598","2015-02-05","1179","11609"
"214","B02512","2015-02-05","264","2022"
"215","B02765","2015-02-05","355","3011"
"216","B02764","2015-02-05","4093","35990"
"217","B02617","2015-02-06","1526","15417"
"218","B02765","2015-02-06","385","3569"
"219","B02598","2015-02-06","1181","11897"
"220","B02512","2015-02-06","261","1989"
"221","B02764","2015-02-06","4170","38693"
"222","B02682","2015-02-06","1414","14375"
"223","B02598","2015-02-07","1031","10512"
"224","B02512","2015-02-07","211","1504"
"225","B02617","2015-02-07","1383","13688"
"226","B02682","2015-02-07","1300","13450"
"227","B02764","2015-02-07","3849","38530"
"228","B02765","2015-02-07","345","3473"
"229","B02764","2015-02-08","3422","29692"
"230","B02765","2015-02-08","313","2623"
"231","B02598","2015-02-08","923","8129"
"232","B02617","2015-02-08","1256","11004"
"233","B02682","2015-02-08","1136","10356"
"234","B02512","2015-02-08","176","1196"
"235","B02617","2015-02-09","1312","10887"
"236","B02682","2015-02-09","1241","10209"
"237","B02598","2015-02-09","976","8135"
"238","B02764","2015-02-09","3543","28266"
"239","B02512","2015-02-09","228","1565"
"240","B02765","2015-02-09","388","2894"
"241","B02764","2015-02-10","3700","29124"
"242","B02512","2015-02-10","233","1555"
"243","B02617","2015-02-10","1364","11401"
"244","B02765","2015-02-10","422","3432"
"245","B02682","2015-02-10","1281","10536"
"246","B02598","2015-02-10","1029","8718"
"247","B02617","2015-02-11","1450","12749"
"248","B02764","2015-02-11","3849","31889"
"249","B02512","2015-02-11","255","1831"
"250","B02598","2015-02-11","1115","10034"
"251","B02765","2015-02-11","450","3778"
"252","B02682","2015-02-11","1396","12189"
"253","B02617","2015-02-12","1532","14263"
"254","B02512","2015-02-12","269","2092"
"255","B02682","2015-02-12","1468","13786"
"256","B02765","2015-02-12","536","4609"
"257","B02598","2015-02-12","1181","11640"
"258","B02764","2015-02-12","4137","36844"
"259","B02617","2015-02-13","1590","16996"
"260","B02682","2015-02-13","1523","16088"
"261","B02764","2015-02-13","4395","43561"
"262","B02765","2015-02-13","599","5909"
"263","B02512","2015-02-13","281","2408"
"264","B02598","2015-02-13","1216","13062"
"265","B02764","2015-02-14","4129","45858"
"266","B02512","2015-02-14","236","2055"
"267","B02598","2015-02-14","1111","12678"
"268","B02765","2015-02-14","583","6307"
"269","B02617","2015-02-14","1486","16999"
"270","B02682","2015-02-14","1428","16448"
"271","B02682","2015-02-15","1261","14517"
"272","B02764","2015-02-15","3651","41209"
"273","B02617","2015-02-15","1293","14662"
"274","B02765","2015-02-15","521","5500"
"275","B02512","2015-02-15","210","1996"
"276","B02598","2015-02-15","1003","11517"
"277","B02598","2015-02-16","934","9052"
"278","B02512","2015-02-16","207","1576"
"279","B02617","2015-02-16","1214","11824"
"280","B02764","2015-02-16","3524","33448"
"281","B02682","2015-02-16","1164","11323"
"282","B02765","2015-02-16","508","4875"
"283","B02764","2015-02-17","3826","32473"
"284","B02512","2015-02-17","241","1797"
"285","B02682","2015-02-17","1314","11887"
"286","B02617","2015-02-17","1378","12524"
"287","B02598","2015-02-17","1066","9463"
"288","B02765","2015-02-17","578","4907"
"289","B02598","2015-02-18","1078","9538"
"290","B02682","2015-02-18","1314","11724"
"291","B02617","2015-02-18","1394","12016"
"292","B02765","2015-02-18","586","5059"
"293","B02764","2015-02-18","3842","32317"
"294","B02512","2015-02-18","228","1589"
"295","B02598","2015-02-19","1127","11739"
"296","B02512","2015-02-19","250","2120"
"297","B02682","2015-02-19","1428","14591"
"298","B02764","2015-02-19","4110","39110"
"299","B02765","2015-02-19","663","6447"
"300","B02617","2015-02-19","1452","14750"
"301","B02764","2015-02-20","4384","44755"
"302","B02617","2015-02-20","1574","16856"
"303","B02598","2015-02-20","1186","12758"
"304","B02682","2015-02-20","1497","16342"
"305","B02765","2015-02-20","736","7824"
"306","B02512","2015-02-20","272","2380"
"307","B02598","2015-02-21","1044","12132"
"308","B02682","2015-02-21","1374","16149"
"309","B02765","2015-02-21","685","7658"
"310","B02617","2015-02-21","1443","16098"
"311","B02512","2015-02-21","238","2149"
"312","B02764","2015-02-21","3981","44194"
"313","B02512","2015-02-22","199","1312"
"314","B02617","2015-02-22","1248","10696"
"315","B02682","2015-02-22","1220","10970"
"316","B02764","2015-02-22","3478","30157"
"317","B02598","2015-02-22","909","8271"
"318","B02765","2015-02-22","566","5034"
"319","B02598","2015-02-23","966","8943"
"320","B02617","2015-02-23","1332","11720"
